sira,isim,gelirler,gelir_yüzde_degisim,karlar,kar_yuzde_degisim,varliklar,piyasa_degeri,sira_degisikligi,calısanlar
969,Kar Auction Services,2251.6,0.0289999999999999,66.5,132.0,7417.2,2187.3,-56.0,8928.0
970,TTM Technologies,2248.7,,54.4,-0.6940000000000001,3025.5,1506.2,-65.0,16100.0
972,Woodward,2245.8,-0.1,208.6,-0.132,4091.0,7882.4,-130.0,7200.0
974,Spire,2235.5,0.205,271.7,2.067,9356.4,3713.6,25.0,3710.0
975,Vista Outdoor,2225.5,0.267,266.0,,1764.9,2007.9,-1.3963636363636365,5900.0
977,LHC Group,2219.6,0.076,115.7,0.037,2895.6,5229.6,-30.0,23000.0
978,Amedisys,2214.1,0.069,209.1,0.139,1857.0,5603.9,-39.0,21000.0
980,Arch Resources,2208.0,0.505,337.6,,2117.2,2126.2,-1.3963636363636365,3303.0
981,Aerojet Rocketdyne Holdings,2188.0,0.0559999999999999,143.7,0.044,2433.6,3169.4,-36.0,5000.0
982,Sleep Number,2184.9,0.177,153.7,0.105,919.5,1123.7,16.0,5388.0
983,HNI,2184.4,0.1169999999999999,59.8,0.427,1497.9,1568.7,-12.0,8000.0
985,TrueBlue,2173.6,0.177,61.6,,1033.2,995.6,-1.3963636363636365,6400.0
988,Dropbox,2157.9,0.127,335.8,,3091.3,8873.5,-8.0,2667.0
989,New Jersey Resources,2156.6,0.104,117.9,-0.392,5722.3,4405.4,-17.0,1251.0
990,Acushnet Holdings,2147.9,0.332,178.9,0.863,2005.8,2914.0,-1.3963636363636365,6500.0
992,Beazer Homes USA,2140.3,0.006,122.0,1.336,2078.8,478.8,-61.0,1052.0
993,Chemed,2139.3,0.0289999999999999,268.6,-0.159,1342.7,7592.5,-49.0,14137.0
995,BWX Technologies,2124.1,,305.9,0.098,2501.4,4925.6,-63.0,6600.0
997,1-800-Flowers.com,2122.2,0.425,118.7,1.011,1076.7,830.0,-1.3963636363636365,4800.0
998,Cowen,2112.8,0.302,295.6,0.366,8748.8,744.1,-1.3963636363636365,1534.0
999,Ashland Global Holdings,2111.0,-0.1119999999999999,220.0,,6612.0,5601.9,-130.0,4100.0
